ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,StockCode
2009-12-01,902.4152719199999,-23.135397596659924,424.46951374802234,902.4152719199999,902.4152719199999,-697.5565619563505,-697.5565619563505,-697.5565619563505,-697.5565619563505,-697.5565619563505,-697.5565619563505,0.0,0.0,0.0,204.8587099636494,22423
2010-01-01,899.4383419944,-26.336775574314103,437.7101758938564,899.4383419944,899.4383419944,-683.3210318376881,-683.3210318376881,-683.3210318376881,-683.3210318376881,-683.3210318376881,-683.3210318376881,0.0,0.0,0.0,216.11731015671194,22423
2010-02-01,896.461412071403,24.1178673576212,481.271166307268,896.461412071403,896.461412071403,-639.695885521815,-639.695885521815,-639.695885521815,-639.695885521815,-639.695885521815,-639.695885521815,0.0,0.0,0.0,256.765526549588,22423
2010-03-01,893.7725721317627,186.14559744417417,624.9872589941974,893.7725721317627,893.7725721317627,-483.2178313341986,-483.2178313341986,-483.2178313341986,-483.2178313341986,-483.2178313341986,-483.2178313341986,0.0,0.0,0.0,410.5547407975641,22423
2010-04-01,890.7956421912819,569.5552607220721,1018.5575942237979,890.7956421912819,890.7956421912819,-97.9532157650105,-97.9532157650105,-97.9532157650105,-97.9532157650105,-97.9532157650105,-97.9532157650105,0.0,0.0,0.0,792.8424264262715,22423
2010-05-01,887.9147422319053,325.16396592877237,768.3857959674061,887.9147422319053,887.9147422319053,-337.80192606227126,-337.80192606227126,-337.80192606227126,-337.80192606227126,-337.80192606227126,-337.80192606227126,0.0,0.0,0.0,550.112816169634,22423
2010-06-01,884.937812257007,9.638628173084859,455.174319378636,884.937812257007,884.937812257007,-659.2587710639077,-659.2587710639077,-659.2587710639077,-659.2587710639077,-659.2587710639077,-659.2587710639077,0.0,0.0,0.0,225.67904119309924,22423
2010-07-01,882.056912269482,529.7760528629644,984.553950474189,882.056912269482,882.056912269482,-121.9331707581114,-121.9331707581114,-121.9331707581114,-121.9331707581114,-121.9331707581114,-121.9331707581114,0.0,0.0,0.0,760.1237415113707,22423
2010-08-01,879.079982035736,-88.77365900521318,360.8497287987103,879.079982035736,879.079982035736,-759.7404509683416,-759.7404509683416,-759.7404509683416,-759.7404509683416,-759.7404509683416,-759.7404509683416,0.0,0.0,0.0,119.33953106739432,22423
2010-09-01,876.102478663673,1178.552113598284,1604.5876834104395,876.102478663673,876.102478663673,520.5952226457831,520.5952226457831,520.5952226457831,520.5952226457831,520.5952226457831,520.5952226457831,0.0,0.0,0.0,1396.697701309456,22423
2010-10-01,873.2181714889791,1390.7397764391233,1810.0835808111437,873.2181714889791,873.2181714889791,725.0954750459164,725.0954750459164,725.0954750459164,725.0954750459164,725.0954750459164,725.0954750459164,0.0,0.0,0.0,1598.3136465348955,22423
