,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Total Cost,Year-Month,MonthName
440,489520,35751C,PURPLE CURRENT CANDLE RING,12,2009-12-01 11:41:00,0.75,14911.0,EIRE,9.0,2009-12,December
441,489520,72739B,WHITE CHOCOLATE SCENT CANDLE,12,2009-12-01 11:41:00,1.25,14911.0,EIRE,15.0,2009-12,December
442,489520,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2009-12-01 11:41:00,3.95,14911.0,EIRE,31.6,2009-12,December
443,489520,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2009-12-01 11:41:00,2.1,14911.0,EIRE,12.600000000000001,2009-12,December
444,489520,21523,FANCY FONT HOME SWEET HOME DOORMAT,2,2009-12-01 11:41:00,6.75,14911.0,EIRE,13.5,2009-12,December
445,489520,48187,DOOR MAT NEW ENGLAND,2,2009-12-01 11:41:00,6.75,14911.0,EIRE,13.5,2009-12,December
446,489520,48195,DOOR MAT GREEN PAISLEY ,2,2009-12-01 11:41:00,6.75,14911.0,EIRE,13.5,2009-12,December
447,489520,72741,GRAND CHOCOLATECANDLE,36,2009-12-01 11:41:00,1.45,14911.0,EIRE,52.199999999999996,2009-12,December
448,489520,85232D,SET/3 DECOUPAGE STACKING TINS,3,2009-12-01 11:41:00,4.95,14911.0,EIRE,14.850000000000001,2009-12,December
449,489520,20828,GLITTER BUTTERFLY CLIPS,6,2009-12-01 11:41:00,2.55,14911.0,EIRE,15.299999999999999,2009-12,December
450,489520,22080,RIBBON REEL SPOTS DESIGN ,10,2009-12-01 11:41:00,1.65,14911.0,EIRE,16.5,2009-12,December
451,489520,22082,RIBBON REEL STRIPES DESIGN ,10,2009-12-01 11:41:00,1.65,14911.0,EIRE,16.5,2009-12,December
452,489520,21754,HOME BUILDING BLOCK WORD,6,2009-12-01 11:41:00,5.95,14911.0,EIRE,35.7,2009-12,December
453,489520,21784,SHOE SHINE BOX ,4,2009-12-01 11:41:00,9.95,14911.0,EIRE,39.8,2009-12,December
454,489520,21172,PARTY METAL SIGN ,12,2009-12-01 11:41:00,1.45,14911.0,EIRE,17.4,2009-12,December
455,489520,21181,PLEASE ONE PERSON  METAL SIGN,6,2009-12-01 11:41:00,2.1,14911.0,EIRE,12.600000000000001,2009-12,December
456,489520,82600,NO SINGING METAL SIGN,12,2009-12-01 11:41:00,2.1,14911.0,EIRE,25.200000000000003,2009-12,December
457,489520,22282,12 EGG HOUSE PAINTED WOOD,4,2009-12-01 11:41:00,12.75,14911.0,EIRE,51.0,2009-12,December
458,489520,21842,PINK HEART CANDY BUTTON CALCULATOR,54,2009-12-01 11:41:00,2.55,14911.0,EIRE,137.7,2009-12,December
459,489520,22089,PAPER BUNTING VINTAGE PAISLEY,6,2009-12-01 11:41:00,2.95,14911.0,EIRE,17.700000000000003,2009-12,December
460,489520,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2009-12-01 11:41:00,3.75,14911.0,EIRE,15.0,2009-12,December
461,489520,20734,SILVER MINI TAPE MEASURE ,10,2009-12-01 11:41:00,0.85,14911.0,EIRE,8.5,2009-12,December
462,489520,21133,PAINTED BIRD ASSORTED CHRISTMAS,12,2009-12-01 11:41:00,1.69,14911.0,EIRE,20.28,2009-12,December
463,489520,35071,ASSORTED SANTA CHRISTMAS DECORATION,12,2009-12-01 11:41:00,0.85,14911.0,EIRE,10.2,2009-12,December
464,489520,22083,PAPER CHAIN KIT RETRO SPOT,6,2009-12-01 11:41:00,2.95,14911.0,EIRE,17.700000000000003,2009-12,December
465,489520,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2009-12-01 11:41:00,2.95,14911.0,EIRE,17.700000000000003,2009-12,December
466,489520,22121,NOEL WOODEN BLOCK LETTERS ,3,2009-12-01 11:41:00,5.95,14911.0,EIRE,17.85,2009-12,December
467,489520,21485,RED SPOT HEART HOT WATER BOTTLE,3,2009-12-01 11:41:00,4.95,14911.0,EIRE,14.850000000000001,2009-12,December
468,489520,84836,ZINC METAL HEART DECORATION,12,2009-12-01 11:41:00,1.25,14911.0,EIRE,15.0,2009-12,December
469,489520,22122,SET OF 2 FANCY FONT TEA TOWELS,12,2009-12-01 11:41:00,2.95,14911.0,EIRE,35.400000000000006,2009-12,December
1000,489546,84050,PINK HEART SHAPE EGG FRYING PAN,6,2009-12-01 12:30:00,1.65,14156.0,EIRE,9.899999999999999,2009-12,December
1001,489546,47568,ENGLISH ROSE DESIGN PEG BAG,6,2009-12-01 12:30:00,2.1,14156.0,EIRE,12.600000000000001,2009-12,December
1002,489546,84782A,PINK 3 TIER GLASS PLATE STAND,2,2009-12-01 12:30:00,12.75,14156.0,EIRE,25.5,2009-12,December
1003,489546,84782C,GREEN 3 TIER GLASS PLATE STAND,1,2009-12-01 12:30:00,12.75,14156.0,EIRE,12.75,2009-12,December
1004,489546,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2009-12-01 12:30:00,1.25,14156.0,EIRE,15.0,2009-12,December
1005,489546,21231,SWEETHEART CERAMIC TRINKET BOX,12,2009-12-01 12:30:00,1.25,14156.0,EIRE,15.0,2009-12,December
1006,489546,22186,RED STAR CARD HOLDER,6,2009-12-01 12:30:00,2.95,14156.0,EIRE,17.700000000000003,2009-12,December
1007,489546,22169,FAMILY ALBUM WHITE PICTURE FRAME,4,2009-12-01 12:30:00,8.5,14156.0,EIRE,34.0,2009-12,December
1008,489546,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2009-12-01 12:30:00,2.95,14156.0,EIRE,17.700000000000003,2009-12,December
1009,489546,84933A,LARGE GREEN PEONY FOLDING STOOL,6,2009-12-01 12:30:00,2.1,14156.0,EIRE,12.600000000000001,2009-12,December
1010,489546,84933B,LARGE PINK PEONY FOLDING STOOL,6,2009-12-01 12:30:00,2.1,14156.0,EIRE,12.600000000000001,2009-12,December
1011,489546,22201,FRYING PAN BLUE POLKADOT ,4,2009-12-01 12:30:00,4.25,14156.0,EIRE,17.0,2009-12,December
1012,489546,37503,TEA TIME CAKE STAND IN GIFT BOX,4,2009-12-01 12:30:00,10.75,14156.0,EIRE,43.0,2009-12,December
1013,489546,48185,DOOR MAT FAIRY CAKE,4,2009-12-01 12:30:00,6.75,14156.0,EIRE,27.0,2009-12,December
