,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Total Cost
47515,493819,47502,POLKADOT CUTLERY 24 PCS IN TRAY,200,2010-01-07 12:34:00,9.95,14156,EIRE,1990
266850,515187,21737,SET 3 WICKER LOG BASKETS,104,2010-07-09 09:46:00,16.95,14156,EIRE,1762.8
51652,494120,21477,STRING OF 20 ROSE LIGHTS,150,2010-01-11 12:48:00,10.95,14156,EIRE,1642.5
47514,493819,21843,RETRO SPOT CAKE STAND,144,2010-01-07 12:34:00,10.95,14156,EIRE,1576.8
47575,493819,20914,SET/5 RED SPOTTY LID GLASS BOWLS,608,2010-01-07 12:34:00,2.55,14156,EIRE,1550.4
266840,515187,20914,SET/5 RED SPOTTY LID GLASS BOWLS,608,2010-07-09 09:46:00,2.55,14156,EIRE,1550.4
336347,522139,84078A,SET/4 WHITE RETRO STORAGE CUBES ,40,2010-09-13 10:30:00,34.95,14156,EIRE,1398
266832,515187,22138,BAKING SET 9 PIECE RETROSPOT ,324,2010-07-09 09:46:00,4.25,14156,EIRE,1377
266833,515187,22617,BAKING SET SPACEBOY DESIGN,324,2010-07-09 09:46:00,4.25,14156,EIRE,1377
266852,515187,22424,ENAMEL BREAD BIN CREAM,100,2010-07-09 09:46:00,10.95,14156,EIRE,1095
47516,493819,84968D,S/16 VINTAGE RED CUTLERY,96,2010-01-07 12:34:00,10.95,14156,EIRE,1051.2
47517,493819,84968C,S/16 VINTAGE PISTACHIO CUTLERY,96,2010-01-07 12:34:00,10.95,14156,EIRE,1051.2
266838,515187,22203,MILK PAN RED RETROSPOT,264,2010-07-09 09:46:00,3.75,14156,EIRE,990
266839,515187,22199,FRYING PAN RED POLKADOT ,264,2010-07-09 09:46:00,3.75,14156,EIRE,990
266854,515187,22377,BOTTLE BAG RETROSPOT ,500,2010-07-09 09:46:00,1.85,14156,EIRE,925
266855,515187,22379,RECYCLING BAG RETROSPOT ,500,2010-07-09 09:46:00,1.85,14156,EIRE,925
273852,515971,22199,FRYING PAN RED POLKADOT ,264,2010-07-16 07:53:00,3.39,14156,EIRE,894.96
47530,493819,21524,SPOTTY  HOME SWEET HOME DOORMAT,150,2010-01-07 12:34:00,5.95,14156,EIRE,892.5
47531,493819,48129,DOOR MAT TOPIARY,150,2010-01-07 12:34:00,5.95,14156,EIRE,892.5
47533,493819,20685,RED SPOTTY COIR DOORMAT,150,2010-01-07 12:34:00,5.95,14156,EIRE,892.5
47568,493819,21539,RETRO SPOTS BUTTER DISH,198,2010-01-07 12:34:00,4.25,14156,EIRE,841.5
266853,515187,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,500,2010-07-09 09:46:00,1.65,14156,EIRE,825
47590,493819,22083,PAPER CHAIN KIT RETRO SPOT,320,2010-01-07 12:34:00,2.55,14156,EIRE,816
266834,515187,22472,TV DINNER TRAY DOLLY GIRL,192,2010-07-09 09:46:00,4.25,14156,EIRE,816
266835,515187,22474,SPACEBOY TV DINNER TRAY,192,2010-07-09 09:46:00,4.25,14156,EIRE,816
