,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Total Cost
440,489520,35751C,PURPLE CURRENT CANDLE RING,12,2009-12-01 11:41:00,0.75,14911.0,EIRE,9.0
441,489520,72739B,WHITE CHOCOLATE SCENT CANDLE,12,2009-12-01 11:41:00,1.25,14911.0,EIRE,15.0
442,489520,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2009-12-01 11:41:00,3.95,14911.0,EIRE,31.6
443,489520,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2009-12-01 11:41:00,2.1,14911.0,EIRE,12.600000000000001
444,489520,21523,FANCY FONT HOME SWEET HOME DOORMAT,2,2009-12-01 11:41:00,6.75,14911.0,EIRE,13.5
445,489520,48187,DOOR MAT NEW ENGLAND,2,2009-12-01 11:41:00,6.75,14911.0,EIRE,13.5
446,489520,48195,DOOR MAT GREEN PAISLEY ,2,2009-12-01 11:41:00,6.75,14911.0,EIRE,13.5
447,489520,72741,GRAND CHOCOLATECANDLE,36,2009-12-01 11:41:00,1.45,14911.0,EIRE,52.199999999999996
448,489520,85232D,SET/3 DECOUPAGE STACKING TINS,3,2009-12-01 11:41:00,4.95,14911.0,EIRE,14.850000000000001
449,489520,20828,GLITTER BUTTERFLY CLIPS,6,2009-12-01 11:41:00,2.55,14911.0,EIRE,15.299999999999999
450,489520,22080,RIBBON REEL SPOTS DESIGN ,10,2009-12-01 11:41:00,1.65,14911.0,EIRE,16.5
451,489520,22082,RIBBON REEL STRIPES DESIGN ,10,2009-12-01 11:41:00,1.65,14911.0,EIRE,16.5
452,489520,21754,HOME BUILDING BLOCK WORD,6,2009-12-01 11:41:00,5.95,14911.0,EIRE,35.7
453,489520,21784,SHOE SHINE BOX ,4,2009-12-01 11:41:00,9.95,14911.0,EIRE,39.8
454,489520,21172,PARTY METAL SIGN ,12,2009-12-01 11:41:00,1.45,14911.0,EIRE,17.4
455,489520,21181,PLEASE ONE PERSON  METAL SIGN,6,2009-12-01 11:41:00,2.1,14911.0,EIRE,12.600000000000001
456,489520,82600,NO SINGING METAL SIGN,12,2009-12-01 11:41:00,2.1,14911.0,EIRE,25.200000000000003
457,489520,22282,12 EGG HOUSE PAINTED WOOD,4,2009-12-01 11:41:00,12.75,14911.0,EIRE,51.0
458,489520,21842,PINK HEART CANDY BUTTON CALCULATOR,54,2009-12-01 11:41:00,2.55,14911.0,EIRE,137.7
459,489520,22089,PAPER BUNTING VINTAGE PAISLEY,6,2009-12-01 11:41:00,2.95,14911.0,EIRE,17.700000000000003
460,489520,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2009-12-01 11:41:00,3.75,14911.0,EIRE,15.0
461,489520,20734,SILVER MINI TAPE MEASURE ,10,2009-12-01 11:41:00,0.85,14911.0,EIRE,8.5
462,489520,21133,PAINTED BIRD ASSORTED CHRISTMAS,12,2009-12-01 11:41:00,1.69,14911.0,EIRE,20.28
463,489520,35071,ASSORTED SANTA CHRISTMAS DECORATION,12,2009-12-01 11:41:00,0.85,14911.0,EIRE,10.2
464,489520,22083,PAPER CHAIN KIT RETRO SPOT,6,2009-12-01 11:41:00,2.95,14911.0,EIRE,17.700000000000003
465,489520,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2009-12-01 11:41:00,2.95,14911.0,EIRE,17.700000000000003
466,489520,22121,NOEL WOODEN BLOCK LETTERS ,3,2009-12-01 11:41:00,5.95,14911.0,EIRE,17.85
467,489520,21485,RED SPOT HEART HOT WATER BOTTLE,3,2009-12-01 11:41:00,4.95,14911.0,EIRE,14.850000000000001
468,489520,84836,ZINC METAL HEART DECORATION,12,2009-12-01 11:41:00,1.25,14911.0,EIRE,15.0
469,489520,22122,SET OF 2 FANCY FONT TEA TOWELS,12,2009-12-01 11:41:00,2.95,14911.0,EIRE,35.400000000000006
1000,489546,84050,PINK HEART SHAPE EGG FRYING PAN,6,2009-12-01 12:30:00,1.65,14156.0,EIRE,9.899999999999999
1001,489546,47568,ENGLISH ROSE DESIGN PEG BAG,6,2009-12-01 12:30:00,2.1,14156.0,EIRE,12.600000000000001
1002,489546,84782A,PINK 3 TIER GLASS PLATE STAND,2,2009-12-01 12:30:00,12.75,14156.0,EIRE,25.5
1003,489546,84782C,GREEN 3 TIER GLASS PLATE STAND,1,2009-12-01 12:30:00,12.75,14156.0,EIRE,12.75
1004,489546,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2009-12-01 12:30:00,1.25,14156.0,EIRE,15.0
1005,489546,21231,SWEETHEART CERAMIC TRINKET BOX,12,2009-12-01 12:30:00,1.25,14156.0,EIRE,15.0
1006,489546,22186,RED STAR CARD HOLDER,6,2009-12-01 12:30:00,2.95,14156.0,EIRE,17.700000000000003
1007,489546,22169,FAMILY ALBUM WHITE PICTURE FRAME,4,2009-12-01 12:30:00,8.5,14156.0,EIRE,34.0
1008,489546,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2009-12-01 12:30:00,2.95,14156.0,EIRE,17.700000000000003
1009,489546,84933A,LARGE GREEN PEONY FOLDING STOOL,6,2009-12-01 12:30:00,2.1,14156.0,EIRE,12.600000000000001
1010,489546,84933B,LARGE PINK PEONY FOLDING STOOL,6,2009-12-01 12:30:00,2.1,14156.0,EIRE,12.600000000000001
1011,489546,22201,FRYING PAN BLUE POLKADOT ,4,2009-12-01 12:30:00,4.25,14156.0,EIRE,17.0
1012,489546,37503,TEA TIME CAKE STAND IN GIFT BOX,4,2009-12-01 12:30:00,10.75,14156.0,EIRE,43.0
1013,489546,48185,DOOR MAT FAIRY CAKE,4,2009-12-01 12:30:00,6.75,14156.0,EIRE,27.0
1036,489546,48188,DOOR MAT WELCOME PUPPIES,2,2009-12-01 12:30:00,6.75,14156.0,EIRE,13.5
1037,489546,48194,DOORMAT HEARTS,2,2009-12-01 12:30:00,6.75,14156.0,EIRE,13.5
1038,489546,48129,DOOR MAT TOPIARY,2,2009-12-01 12:30:00,6.75,14156.0,EIRE,13.5
1039,489546,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-01 12:30:00,3.75,14156.0,EIRE,22.5
1040,489546,21781,MA CAMPAGNE CUTLERY BOX,1,2009-12-01 12:30:00,14.95,14156.0,EIRE,14.95
1041,489546,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2009-12-01 12:30:00,4.95,14156.0,EIRE,14.850000000000001
1042,489546,21485,RED SPOT HEART HOT WATER BOTTLE,3,2009-12-01 12:30:00,4.95,14156.0,EIRE,14.850000000000001
1043,489546,21484,CHICK GREY HOT WATER BOTTLE,4,2009-12-01 12:30:00,3.45,14156.0,EIRE,13.8
1044,489546,20692,FLORAL ELEPHANT SOFT TOY,9,2009-12-01 12:30:00,4.25,14156.0,EIRE,38.25
1045,489546,20768,GREEN FERN JOURNAL ,6,2009-12-01 12:30:00,2.55,14156.0,EIRE,15.299999999999999
1046,489546,21082,SET/20 FRUIT SALAD PAPER NAPKINS ,12,2009-12-01 12:30:00,0.85,14156.0,EIRE,10.2
1047,489546,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-01 12:30:00,1.95,14156.0,EIRE,15.6
1048,489546,47591B,SCOTTIES DES CHILD'S APRON,8,2009-12-01 12:30:00,1.65,14156.0,EIRE,13.2
1049,489546,21004,ROSE DU SUD CHILDS APRON,3,2009-12-01 12:30:00,4.25,14156.0,EIRE,12.75
1050,489546,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2009-12-01 12:30:00,0.55,14156.0,EIRE,13.200000000000001
1051,489546,20751,FUNKY WASHING UP GLOVES ASSORTED,12,2009-12-01 12:30:00,2.1,14156.0,EIRE,25.200000000000003
1052,489546,22195,LARGE HEART MEASURING SPOONS,12,2009-12-01 12:30:00,1.65,14156.0,EIRE,19.799999999999997
1053,489546,22196,SMALL HEART MEASURING SPOONS,12,2009-12-01 12:30:00,0.85,14156.0,EIRE,10.2
1054,489546,22199,FRYING PAN RED POLKADOT ,4,2009-12-01 12:30:00,4.25,14156.0,EIRE,17.0
1111,489550,48187,DOOR MAT NEW ENGLAND,2,2009-12-01 12:33:00,6.75,14156.0,EIRE,13.5
1112,489550,21523,FANCY FONT HOME SWEET HOME DOORMAT,2,2009-12-01 12:33:00,6.75,14156.0,EIRE,13.5
1113,489550,84968C,S/16 VINTAGE PISTACHIO CUTLERY,4,2009-12-01 12:33:00,12.75,14156.0,EIRE,51.0
1114,489550,84968F,S/16 VINTAGE SKY BLUE CUTLERY,2,2009-12-01 12:33:00,12.75,14156.0,EIRE,25.5
1115,489550,84968B,S/16 VINTAGE IVORY CUTLERY,2,2009-12-01 12:33:00,12.75,14156.0,EIRE,25.5
1116,489550,21977,PACK OF 60 PINK PAISLEY CAKE CASES,48,2009-12-01 12:33:00,0.55,14156.0,EIRE,26.400000000000002
1117,489550,22276,WASH BAG VINTAGE ROSE PAISLEY,6,2009-12-01 12:33:00,2.55,14156.0,EIRE,15.299999999999999
1118,489550,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,2009-12-01 12:33:00,9.95,14156.0,EIRE,39.8
1119,489550,85231L,LAVENDER SCENTED SET/9 T-LIGHTS,12,2009-12-01 12:33:00,0.85,14156.0,EIRE,10.2
1120,489550,85231G,ORANGE SCENTED SET/9 T-LIGHTS,12,2009-12-01 12:33:00,0.85,14156.0,EIRE,10.2
1121,489550,21618,4 WILDFLOWER BOTANICAL CANDLES,6,2009-12-01 12:33:00,3.75,14156.0,EIRE,22.5
1122,489550,21615,4 LAVENDER BOTANICAL DINNER CANDLES,6,2009-12-01 12:33:00,3.75,14156.0,EIRE,22.5
1123,489550,21619,4 VANILLA BOTANICAL CANDLES,6,2009-12-01 12:33:00,3.75,14156.0,EIRE,22.5
1124,489550,21612,SET 12 WILDFLOWER BOTANICAL T-LIGHT,6,2009-12-01 12:33:00,2.95,14156.0,EIRE,17.700000000000003
1125,489550,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2009-12-01 12:33:00,1.25,14156.0,EIRE,15.0
1126,489550,85049B,LUSH GREENS RIBBONS,12,2009-12-01 12:33:00,1.25,14156.0,EIRE,15.0
1127,489550,85049G,CHOCOLATE BOX RIBBONS ,12,2009-12-01 12:33:00,1.25,14156.0,EIRE,15.0
1128,489550,21175,GIN + TONIC DIET METAL SIGN,6,2009-12-01 12:33:00,2.1,14156.0,EIRE,12.600000000000001
1129,489550,21770,OPEN CLOSED METAL SIGN,2,2009-12-01 12:33:00,4.95,14156.0,EIRE,9.9
1130,489550,20747,PICCADILLY TEA SET,2,2009-12-01 12:33:00,14.95,14156.0,EIRE,29.9
1131,489550,37500,TEA TIME TEAPOT IN GIFT BOX,2,2009-12-01 12:33:00,9.95,14156.0,EIRE,19.9
1132,489550,84991,60 TEATIME FAIRY CAKE CASES,48,2009-12-01 12:33:00,0.55,14156.0,EIRE,26.400000000000002
1133,489550,21637,ASSORTED SANSKRIT MINI NOTEBOOK,18,2009-12-01 12:33:00,1.25,14156.0,EIRE,22.5
