,StockCode,InvoiceDate,Description,Quantity,Price,Revenue
0,10002,2010-02-17 14:39:00,INFLATABLE POLITICAL GLOBE ,60,0.85,51.0
1,10125,2010-10-21 13:39:00,MINI FUNKY DESIGN TAPES,40,0.85,34.0
2,10133,2010-01-07 12:34:00,COLOURING PENCILS BROWN TUBE,220,0.6519999999999999,150.3
3,10134,2009-12-18 14:08:00,COLOURING PENCILS BROWN TUBE,210,1.155,224.5
4,10135,2010-09-30 14:46:00,COLOURING PENCILS BROWN TUBE,80,0.9733333333333333,50.2
5,11001,2010-08-22 10:33:00,ASSTD DESIGN RACING CAR PEN,112,1.6900000000000002,189.28
6,15034,2010-11-15 14:26:00,PAPER POCKET TRAVELING FAN ,24,0.14,3.3600000000000003
7,15036,2010-06-17 11:57:00,ASSORTED COLOURS SILK FAN,132,0.78,102.84
8,15044A,2010-04-26 13:54:00,PINK PAPER PARASOL ,18,2.9500000000000006,53.10000000000001
9,15044B,2010-05-02 14:49:00,BLUE PAPER PARASOL ,24,2.9500000000000006,70.80000000000001
10,15044C,2010-04-26 10:42:00,PURPLE PAPER PARASOL,12,2.95,35.400000000000006
11,15044D,2010-04-26 13:54:00,RED PAPER PARASOL,30,2.95,88.50000000000001
12,15056BL,2009-12-08 16:40:00,EDWARDIAN PARASOL BLACK,277,5.923684210526315,1588.15
13,15056N,2009-12-15 12:00:00,EDWARDIAN PARASOL NATURAL,372,5.905555555555556,2093.4
14,15056P,2010-04-26 10:42:00,EDWARDIAN PARASOL PINK,68,5.95,404.6
15,15058B,2010-04-26 10:42:00,PINK WHITE SPOTS GARDEN PARASOL,12,7.35,83.4
16,15058C,2010-04-29 09:16:00,ICE CREAM DESIGN GARDEN PARASOL,4,7.95,31.8
17,15060B,2009-12-07 09:42:00,FAIRY CAKE DESIGN UMBRELLA,68,3.75,255.0
18,16011,2010-11-01 15:28:00,ANIMAL STICKERS,48,0.21,10.08
